吖	kyaz	口丫
𣖻	mukm	木𠂇口皿
𣢇	jqmi	己欠
𣳠	dmud	氵母
𤵽	bcxx	疒艹乂
𤸎	bobr	疒曰勹𠃊人
𥁐	skmn	厶口皿
𥂧	yukm	酉𠂇口皿
𥩤	lkei	立可
𥩲	lwjr	立亠{丩}人
𦐤	wjrx	亠{丩}人习习
𦤬	zqbk	自犬宀丰口
𦷷	czwr	艹辶亠{丩}人
𧻲	tzli	土龰里
𧽊	tzub	土龰山一口䒑
𧽖	tzpt	土龰{丿𠄌丶}刀田
𨀖	zwjr	𧾷亠{丩}人
𨡬	yumn	酉水皿
𨸜	euur	⻖殳
𩞞	ukww	飠口旡旡
𩠚	bazr	丷一自亠{丩}人
𩡔	hobk	禾日宀丰口
𩩰	gobb	冎⺼匕匕白
𩪃	gobk	冎⺼宀丰口
𩹄	yobr	魚曰勹𠃊人
㑵	rbui	亻疒矢
㒈	rewf	亻{⿱𠃍耳}攵
㖤	kklu	口凵了{水}
㘎	kmew	口门{⿱𠃍耳}攵
㘕	kcim	口艹臣𠂉丶皿
㘚	kmew	口門{⿱𠃍耳}攵
㙈	thji	土虍几
㙔	twkf	土𫝀口㐄
㙳	twax	土戊{一}口心
㜦	negc	女𫜹工口寸
㟏	urdk	山𠆢丶㇇口
㟔	urdk	山𠆢丶㇇口
㢨	ggjs	弓干
㨔	fwak	扌戊{一}口
㪋	ogby	日干⺊又
㮀	mklu	木凵了{水}
㲦	uuom	十十日𠆢毛
㵄	dgkt	氵戈口{一}天
㵎	dmoo	氵門月
㶰	hgjo	火甘
㸁	hybw	火业丷一未
㺖	qewf	犭{⿱𠃍耳}攵
㼨	rdvw	𠆢丶㇇口瓦
㽉	ipdw	臣𠂉丶罒瓦
㽳	byuk	疒于
䁔	ovay	目爫一𠂇又
䈄	vklu	竹凵了{水}
䌍	scvw	糹廿中王
䍐	sgji	罒干
䍑	kxxg	冂乂乂干
䎯	lcvt	耒艹中天
䏷	oogj	⺼日干
䐄	odjq	⺼⺈臼
䓍	cogj	艹日干
䓿	cskg	艹龴囗丷干
䕿	ccvn	艹艹中天鳥
䖔	qhji	去虍几
䗙	bfbi	宀𠀎八虫
䘶	pklu	衤凵了{水}
䛞	yogj	訁日干
䤴	jklu	金凵了{水}
䥁	jskg	金龴囗丷干
䧲	grvu	干亻{隹右}
䨡	yklu	雨凵了{水}
䫲	waky	戊{一}口心頁
䮧	uuom	十十日𠆢馬
䶃	jvrv	臼{鼠下}𠆢丶㇇
丆	appa	一丿
傼	rcvt	亻艹中天
兯	bera	丷𰆊
函	kluv	凵了{水}
凾	klky	凵了口又
含	rdvk	𠆢丶㇇口
哻	kogj	口日干
唅	krdk	口𠆢丶㇇口
喊	kwak	口戊{一}口
圅	skbg	龴囗丷干
垾	togj	土日干
娢	nrdk	女𠆢丶㇇口
嫨	ncvt	女艹中天
寒	bfbd	宀𠀎八⺀
崡	uklu	山凵了{水}
嵅	uwak	山戊{一}口
悍	xogj	忄日干
憨	ewxb	{⿱𠃍耳}攵心
憾	xwax	忄戊{一}口心
扞	fgju	扌干
捍	fogj	扌日干
撖	fewf	扌{⿱𠃍耳}攵
撼	fwax	扌戊{一}口心
旱	ogjo	日干
晗	ordk	日𠆢丶㇇口
晘	oogj	日日干
晥	obyr	日宀元
暵	ocvt	日艹中天
梒	mrdk	木𠆢丶㇇口
椷	mwak	木戊{一}口
歛	rakq	𠆢一口口人人欠
汉	dyzd	氵又
汗	dgjd	氵干
浛	drdk	氵𠆢丶㇇口
浫	dbgj	氵⺳干
涆	dogj	氵日干
涵	dklu	氵凵了{水}
漢	dcvt	氵艹中天
澏	dkku	氵口口口山
瀚	duux	氵十十日𠆢习习
焊	hogj	火日干
焓	hrdk	火𠆢丶㇇口
熯	hcvt	火艹中天
爳	wlew	爲了
猂	qogj	犭日干
琀	wrdk	𤣩𠆢丶㇇口
甝	hjgj	虍几甘
皔	bogj	白日干
睅	oogj	目日干
筨	vrdk	竹𠆢丶㇇口
罕	bgjc	⺳干
翰	uuox	十十日𠆢习习
肣	ordv	⺼𠆢丶㇇
莟	crdk	艹𠆢丶㇇口
菡	cklu	艹凵了{水}
蔊	chog	艹火日干
虷	igjs	虫干
蚶	igjs	虫甘
蛿	irdk	虫𠆢丶㇇口
蜬	iklu	虫凵了{水}
蜭	idjq	虫⺈臼
螒	uuoi	十十日𠆢虫
譀	yewf	訁{⿱𠃍耳}攵
谽	grdk	谷𠆢丶㇇口
豃	gewf	谷{⿱𠃍耳}攵
輚	igge	車戈戈
邗	gerj	干⻏
邯	gerj	甘⻏
酣	ygjz	酉甘
釬	jgjn	金干
銲	jogj	金日干
鋎	jbyr	金宀元
鋡	jrdk	金𠆢丶㇇口
闞	mewf	門{⿱𠃍耳}攵
雗	uuov	十十日𠂉亻{隹右}
韓	uuof	十十日𫝀口㐄
韩	uuow	十十日韦
頇	gyej	干頁
頷	rdvy	𠆢丶㇇口頁
顄	kluy	凵了{水}頁
顸	gyej	干页
颔	rdvy	𠆢丶㇇口页
馠	hork	禾日𠆢丶㇇口
馯	mgja	馬干
駻	mogj	馬日干
魽	ygju	魚甘
鶾	uuon	十十日𠂉鳥
鼾	ztwg	自田丌干
𠗴	dskg	冫龴囗丷干
𠢇	uuol	十十日𠂉力
𠤮	krdv	匚𠆢丶㇇
𠤾	kkrv	匚口𠆢丶㇇
𠦊	yuiy	云十
𠲒	rxkz	𠆢⺗口
𠵸	kgdx	口弓⺈小
𠹄	kskg	口龴囗丷干
𠽦	kdwk	口氵戊{一}口
𡁀	kskq	口龴囗丷干欠
𡇜	kuez	囗⾆
𡣔	nrdg	女𠆢丶㇇龴囗丷干
𡬖	bpch	宀爿艹⺫冖火火
𡷛	uogj	山日干
𡻡	urdy	山𠆢丶㇇酉
𢀵	jjii	己己
𢃗	jklu	巾凵了{水}
𢄜	jskg	巾龴囗丷干
𢇞	gkzl	广口
𢎘	avva	乛㇉
𢔈	rklu	彳凵了{水}
𢔔	rlka	彳了口又{一}
𢧦	wxnv	戊覀女
𣐺	gmuu	𰀉木
𣒷	ghmu	广户木
𣘞	mrdy	木𠆢丶㇇酉
𣛴	mwax	木戊{一}口心
𣝽	mkew	木匚{⿱𠃍耳}攵
𣢅	wqmh	亡欠
𣢟	gqmj	甘欠
𣢺	rdvq	𠆢丶㇇口欠
𤀉	drag	氵𠆢一口冂丷干
𤌐	hskg	火龴囗丷干
𤞶	qbgj	犭⺳干
𤬯	wrdv	瓦𠆢丶㇇
𤳉	tcvt	田艹中天
𤸕	bzqv	疒辶千止
𤿧	ogpi	日干皮
𥀐	uuop	十十日人皮
𥆡	ordk	目𠆢丶㇇口
𥇌	odjq	目⺈臼
𥉰	ovjq	目爫臼
𥤱	bbgj	宀八干
𦋣	skly	罒凵了口又
𦒅	xxct	习习艹中天
𦒝	wakx	戊{一}口心习习
𦛜	ordk	⺼𠆢丶㇇口
𦜆	oklu	⺼凵了{水}
𦞞	oskg	⺼龴囗丷干
𦥖	jvll	臼㇇丨
𦺦	cbfd	艹宀𠀎八⺀
𧂃	crdy	艹𠆢丶㇇口頁
𧃙	cuuf	艹十十日𫝀口㐄
𧑚	ibfd	虫宀𠀎八⺀
𧭻	ywak	訁戊{一}口亠二口
𧮰	grdv	谷𠆢丶㇇
𧮳	ggju	谷甘
𧯘	gmew	谷門{⿱𠃍耳}攵
𧰪	guij	干豕
𧵊	bgjw	貝甘
𧹣	irdk	赤𠆢丶㇇口
𧾔	tzwx	土龰戊{一}口心
𨁄	zogj	𧾷日干
𨛎	oger	日干⻏
𨢈	uuoy	十十日丷酉
𨸗	egjr	⻖干
𩄙	yskg	雨龴囗丷干
𩈖	mrds	面𠆢丶龴
𩈣	mrdk	面𠆢丶㇇口
𩎒	wkfg	𫝀口㐄干
𩕠	waky	戊{一}口火頁
𩖺	fgjg	風甘
𩗤	fogj	風日干
𩞿	uwax	飠戊{一}口心
𩦊	mbfd	馬宀𠀎八⺀
𩭥	egpj	E𠫔彡⺈臼
𩹑	yrai	魚𠆢一虫
𩹼	uuoy	十十日人魚
𩾝	ngjn	鳥干
㤚	xrad	忄彳一丁
䀪	orad	目彳一丁
䘕	radj	彳一丁亠几
䟘	zwji	𧾷亠几
䣈	kbkb	口巴口巴
䦳	mxeg	門乡⻏丶{艮}
䲳	wjnn	亠几鳥
䴂	dunn	{⺈丿口}𧰨鳥
吭	kwji	口亠几
垳	trad	土彳一丁
妔	nwji	女亠几
巷	gsis	共巳
忼	xwji	忄亠几
斻	fpji	方𠂉几
杭	mwji	木亠几
桁	mrad	木彳一丁
沆	dwji	氵亠几
笐	vwji	竹亠几
筕	vrad	竹彳一丁
絎	srad	糹彳一丁
绗	srad	纟彳一丁
航	vwji	舟亠几
苀	cwji	艹亠几
蚢	iwji	虫亠几
行	radk	彳一丁
裄	prad	衤彳一丁
貥	bwji	貝亠几
迒	zwji	辶亠几
邟	wjer	亠几⻏
頏	wjye	亠几頁
颃	wjye	亠几页
魧	ywji	魚亠几
𠡊	dbli	大丷力
𡕧	wjyw	亠几允夂
𤰟	tgjm	田干
𤵻	bxer	疒凶儿
𤼍	bmmo	疒木木禾日
𥮕	vmwj	竹木亠几
𦐄	wjxx	亠几习习
𦨵	vrad	舟彳一丁
𧘃	radb	彳一丁⺫貝
𧦑	ywji	訁亠几
𨾒	wjrv	亠几亻{隹右}
𩉜	gjie	革几
𩔋	vrye	爫冉頁
𩠾	bhoo	疒禾日
𩲋	wjgv	亠几鬼
𩶞	ywfj	魚亠凡
𪐦	lhwj	{里}灬亠几
𪕇	jvwj	臼{鼠下}亠几
𪗜	vkrj	止凵人人一人人亠几
㕺	kkkv	口口丂
㘪	tmcu	土毛
㙱	kkht	口丂虍几土
㚪	nmcv	女毛
㝀	mziu	母子
㞻	ukkv	山口丂
㠙	uwku	山亠口冖豕
㩝	fwku	扌亠口冖豕
㬔	oxxp	日习习𠆢彡
㬶	onkz	月⺧口
㵆	donk	氵日⺧口
䒵	cnzi	艹女子
䚽	ymcj	訁毛
䝞	vhji	豸虍几
䝥	vbdu	豸白冫丿丶十
䧚	ewkk	⻖亠口冂口
䧫	ewku	⻖亠口冖豕
䪽	kkye	口丂頁
䬉	fiig	風赤
䯫	owkk	日亠口小亠口冂口
乚	vvv	乚
侴	raid	𠆢一丑刂
傐	rwkk	亻亠口冂口
儫	rwku	亻亠口冖豕
号	kkvz	口丂
呺	kkkv	口口丂
哠	knkz	口⺧口
嗥	kbdu	口白大十
嘷	kzdu	口自冫丿丶十
噑	kbdu	口白冫丿丶十
嚆	kcwk	口艹亠口冂口
嚎	kwku	口亠口冖豕
壕	twku	土亠口冖豕
好	nziv	女子
恏	nzxb	女子心
悎	xnkz	忄⺧口
昊	otmo	日天
昦	odll	日大{⿰丿丨}
晧	onkz	日⺧口
暤	obdu	日白大十
暭	obdu	日白冫丿丶十
曍	ozdu	日自冫丿丶十
椃	mhji	木虍几
毜	mxnc	毛小
毫	wkbm	亠口冖毛
浩	dnkz	氵⺧口
淏	dotm	氵日天
滈	dwkk	氵亠口冂口
滜	dbdu	氵白大十
澔	dbnk	氵白⺧口
濠	dwku	氵亠口冖豕
灏	dowy	氵日亠口小页
灝	dowy	氵日亠口小頁
獆	qbdu	犭白大十
獔	qbdu	犭白冫丿丶十
皓	bnkz	白⺧口
皜	bwkk	白亠口冂口
皞	bbdu	白白大十
皡	bbdu	白白冫丿丶十
皥	bzdu	白自冫丿丶十
秏	hmce	禾毛
竓	lmci	立毛
籇	vwku	竹亠口冖豕
耗	lmcw	耒毛
聕	enkz	耳⺧口
茠	crmu	艹亻木
蒿	cwkk	艹亠口冂口
薃	cdwk	艹氵亠口冂口
薅	cnic	艹女辰寸
薧	cwkb	艹亠口冖歹匕
藃	cwkq	艹亠口冂口欠
號	kkhj	口丂虍几
蚝	imcs	虫毛
蠔	iwku	虫亠口冖豕
諕	yhji	訁虍几
譹	ywku	訁亠口冖豕
豪	wkbu	亠口冖豕
貉	vwkz	豸夂口
郝	ieri	赤⻏
鄗	wkke	亠口冂口⻏
顥	owky	日亠口小頁
颢	owky	日亠口小页
鰝	ywkk	魚亠口冂口
𠚃	akkz	一凵口
𠢕	fdwl	龶{⺈}攵力
𡐒	twkm	土亠口冖毛
𡚌	tttt	天天天天
𡚽	invz	丑女
𡠖	nzdu	女自冫丿丶十
𡥆	iziz	丑子
𡽝	ucwk	山艹亠口冂口
𢻇	xkvi	夕口支
𣆧	owwu	日兀兀
𣘫	kmhj	口木虍几
𣚧	kkim	口丂𠂆𰀁巾木
𣭖	kkmc	口丂毛
𣭹	ygmc	夭干毛
𣱓	jxxu	𦥑乂乂冖氐
𤀃	dhwk	氵虍亠二口
𤝐	qkkv	犭口丂
𤡇	qwkm	犭亠口冖毛
𤢨	qcwk	犭艹亠口冂口
𤢭	qwku	犭亠口冖豕
𤩩	wkka	王口丂虍一
𤩭	wkkj	𤣩口丂虍几
𤫧	wcsj	𤣩艹⺫大韭
𥍣	mkkv	矛口丂
𦳁	chmc	艹禾毛
𧇼	kkhb	口丂虍一口䒑
𧦝	yhuj	訁乎
𧬁	yzdu	訁自冫丿丶十
𧯌	gzdu	谷自冫丿丶十
𨂜	zhji	𧾷虍几
𨒑	zjuz	辶巨
𨚙	kker	口丂⻏
𨚮	berd	白⻏
𨠬	ylcz	酉老
𨼍	ezdu	⻖自冫丿丶十
𩐮	lohu	立日虍十
𩖸	fkkv	風口丂
𩫕	wkku	亠口冂口豕
𩮘	egpk	E𠫔彡亠口冂口
𩲊	gmcv	鬼毛
㓭	obvd	曰勹𠃊人刂
㔠	obvl	曰勹𠃊人力
㕡	bkag	⺊冂{一}又谷
㕰	kmcz	口毛
㗿	kmke	口門可
㥺	xqmn	忄去皿
㦦	xmje	忄門臼儿
㪃	kbyz	可⺊又
㪉	rakw	𠆢一口攵
㬞	ouor	日山曰勹𠃊人
㭱	mkjx	木匚甲
㮝	mger	木谷卩
㮫	mbfk	木宀丰口
㰤	kqme	可欠
㵑	dlkb	氵力口貝
㷎	hobr	火曰勹𠃊人
㷤	tbah	士冖一殳火
㹇	nobr	牜曰勹𠃊人
㿣	bobr	白曰勹𠃊人
㿥	bbrv	白冖亻{隹右}
䃒	ugei	石鬲
䅂	hwkz	禾夂口
䌾	sukg	⺰十冂丷干
䎋	nkxx	⺧口习习
䒩	chec	艹禾
䓼	cnlp	艹女龙丿丿
䕣	cpor	艹衤曰勹𠃊人
䚂	ijmi	赤見
䞦	tzwk	土龰夂口
䢗	zquz	辶曲
䪚	wkfx	𫝀口㐄日习习
䫘	obvy	曰勹𠃊人頁
䳚	ognn	日干鳥
䳽	urvn	山亻{隹右}鳥
䴳	lwbb	來{夊}宀八
䵱	lhtk	{里}灬士口䒑口
䶅	jvwk	臼{鼠下}夂口
何	rkef	亻可
劾	wjrl	亠{丩}人力
吓	kxxz	口下
咊	khez	口禾
和	hkze	禾口
哬	krke	口亻可
啝	khkz	口禾口
喛	kvay	口爫一𠂇又
喝	kobr	口曰勹𠃊人
嗃	kwkk	口亠口冂口
嗬	kcrk	口艹亻可
嚇	kiii	口赤赤
垎	twkz	土夂口
壑	bkat	⺊冂{一}又谷土
姀	nhev	女禾
寉	brvu	宀亻{隹右}
峆	urak	山𠆢一口
惒	hkxb	禾口心
抲	fkeu	扌可
敆	raky	𠆢一口⺊又
曷	obvr	曰勹𠃊人
朅	qobr	去曰勹𠃊人
柇	mheu	木禾
核	mwjr	木亠{丩}人
楁	mbwk	木宀夂口
欱	rakq	𠆢一口欠
毼	obvm	曰勹𠃊人毛
河	dked	氵可
涸	dkgu	氵囗古
渮	dcke	氵艹可
澕	dcaf	氵艹一艹𰀁
焃	hiio	火赤
煂	hgeo	火革
熆	hqmn	火去皿
熇	hwkk	火亠口冂口
燺	hwkm	火亠口冂口木
爀	hiii	火赤赤
狢	qwkz	犭夂口
癋	byxb	疒亞心
皬	byrv	白雨亻{隹右}
盇	tmnd	太皿
盉	hmne	禾皿
盍	qmnu	去皿
盒	rakm	𠆢一口皿
碋	uuke	石山可
礉	ubfw	石白方攵
禾	pmup	丿木
篕	vqmn	竹去皿
籺	mpvv	米𠂉乙
粭	mrak	米𠆢一口
翮	gxxi	鬲习习
翯	xxwk	习习亠口冂口
苛	ckec	艹可
荷	crke	艹亻可
菏	cdke	艹氵可
萂	chkz	艹禾口
螛	ibfk	虫宀丰口
蠚	cuki	艹𠂇口虫虫
袔	pkep	衤可
褐	pobr	衤曰勹𠃊人
覈	xbfw	覀白方攵
訶	ykej	訁可
訸	yhej	訁禾
詥	yrak	訁𠆢一口
謞	ywkk	訁亠口冂口
诃	ykej	讠可
貈	vvzi	豸舟
賀	lkbw	力口貝
贺	lkbw	力口贝
赫	iiii	赤赤
郃	rake	𠆢一口⻏
釛	jlin	金力
鉌	jhen	金禾
鑉	jcqm	金艹去皿
閡	mwjr	門亠{丩}人
闔	mqmn	門去皿
阂	mwjr	门亠{丩}人
阖	mqmn	门去皿
隺	brvu	冖亻{隹右}
靍	yrvn	雨亻{隹右}鳥
靎	yjnn	雨金鳥
靏	ybrn	雨冖亻{隹右}鳥
鞨	gobr	革曰勹𠃊人
頜	raky	𠆢一口頁
餄	urak	飠𠆢一口
饸	urak	饣𠆢一口
魺	ykeu	魚可
鶡	obvn	曰勹𠃊人鳥
鶮	wkkn	亠口冂口鳥
鶴	brvn	冖亻{隹右}鳥
鸖	yrvn	雨亻{隹右}鳥
鹖	obvn	曰勹𠃊人鸟
鹤	brvn	冖亻{隹右}鸟
麧	lwpv	來{夊}𠂉乙
齕	vkrv	止凵人人一人人𠂉乙
龁	vkrv	止凵人𠂉乙
龢	rakh	𠆢一口口口冂卄禾
𠀀	alav	一丨一𠃊
𠁗	ubbd	十百百大
𠗂	dwkz	冫夂口
𠘢	dvxv	冫占㐅丶丶丶丶舟
𠚔	sakk	龴一凵𠆢一口
𠛳	wjrd	亠{丩}人刀
𠡀	ayli	丆又力
𠧕	uuih	上尸
𠰓	khez	口禾
𠳇	kjkz	口斤口
𠳊	kque	可去
𠵩	kgoz	口果
𠶹	kspv	口糹𠂉乙
𠶾	kcke	口艹可
𠻙	kskk	口龴囗𠆢一口
𡀽	kcqm	口艹去皿
𡇞	krak	囗𠆢一口
𡇶	skrk	龴囗𠆢一口
𡫥	bwkk	宀夂口宀夂口
𢅰	jmje	巾門臼儿
𢥳	xkkk	忄可可可可
𢬲	frke	扌亻可
𣆈	owuo	日戊
𣏷	kymu	冂又木
𣣹	qmqm	去皿欠
𣰌	cobm	艹曰勹𠃊人毛
𣲲	dhed	氵禾
𣿌	dzor	氵辶曰勹𠃊人
𤈧	hruu	火彳殳
𤖱	phem	片禾
𥉑	obrv	目冖亻{隹右}
𥋿	oiii	目赤赤
𥘫	ukei	示可
𥝖	hpvv	禾𠂉乙
𥝸	huve	禾水
𥞄	hpme	禾片
𥞍	hkee	禾可
𥟃	hkhe	{虍}口禾
𥻉	mobr	米曰勹𠃊人
𥽶	mxbw	米覀白方攵
𦃔	sgei	糹鬲
𦇸	sxbw	糹覀白方攵
𦒏	xxtw	习习土土土兀
𦘿	opvy	⺼丿㇇又
𦛘	oiio	⺼赤
𦞦	obrv	⺼冖亻{隹右}
𦳬	ckrk	艹囗𠆢一口
𦺞	cyke	艹訁可
𦼰	cmor	艹木曰勹𠃊人
𦼵	cobm	艹曰勹𠃊人毛
𦽅	cmke	艹門可
𧀔	cvlp	艹豸龙丿丿
𧇎	hjrk	虍几𠆢一口
𧇮	hjhk	虍几禾口
𧊬	cyis	艹又虫
𧝂	plkb	衤力口貝
𧝳	pbfw	衤白方攵
𧨂	yrke	訁亻可
𧬂	ylkb	訁力口貝
𧬱	ymke	訁門可
𧭳	kkkk	可可可亠二口
𧮵	grak	谷𠆢一口
𧯉	bggu	宀谷谷
𧲦	vyri	豸元
𨋟	hiee	禾車
𨍇	ibwk	車宀夂口
𨜱	bgke	宀工口⻏
𨜴	qmer	去皿⻏
𨨛	jhkz	金禾口
𨴢	mxxi	門夕夕
𩄸	yrwy	雨亻壬⺊又
𩅢	ybfw	雨白方攵
𩌡	gwkk	革亠口冂口
𩐥	lork	立日𠆢一口
𩑸	kyee	可頁
𩩒	goui	冎⺼豕
𩩲	goor	冎⺼曰勹𠃊人
𩵢	yqmu	魚欠
𪈊	gxxn	鬲习习鳥
𪖲	ztwy	自田丌尸二コ又
𪘹	vkrr	止凵人人一人人曰勹𠃊人
嘿	klho	口{里}灬
潶	dlho	氵{里}灬
黑	lhoi	{里}灬
黒	ttho	田土灬
𢖛	rlwh	彳丨夂{里}灬
𢡀	xlho	忄{里}灬
𥕙	uduu	石丶生石
𨭆	jlho	金{里}灬
𩻤	ylho	魚{里}灬
㯊	mvvh	木正㇉一灬
䓳	crgf	艹彳艮
佷	rgff	亻艮
噷	kloq	口立日欠
很	rgff	彳艮
恨	xgfb	忄艮
拫	fgfu	扌艮
狠	qgfr	犭艮
痕	bgfk	疒艮
詪	ygfj	訁艮
鞎	ggfe	革艮
𦚣	ogfo	⺼艮
㔰	kxbo	匚夕卜
㶇	dmcb	氵木卄一由八
䄓	pbwh	礻白王
䒛	cyvv	艹幺𠃌
䬖	fbwh	風白王
䬝	fcab	風卄一由八
䯒	gord	冎⺼彳一丁
亨	wkle	亠口了
哼	kwkl	口亠口了
啈	ktbg	口土丷干
姮	nadj	女{一}旦
恆	xhub	忄亙
恒	xadj	忄{一}旦
悙	xwkl	忄亠口了
横	mcab	木卄一由八
橫	mcab	木廿一由八
涥	dwkl	氵亠口了
烆	hrad	火彳一丁
珩	wrad	𤣩彳一丁
胻	orad	⺼彳一丁
脝	owkl	⺼亠口了
蘅	crad	艹彳一丁⺈田大
衡	radd	彳一丁⺈田大
鑅	jhhm	金火火冖木
鴴	radn	彳一丁鳥
鵆	radn	彳一丁鳥
鸻	radn	彳一丁鸟
𠔲	brgf	八𠆢公儿夫
𠧿	bkef	⺊冂儿丿夫
𡧦	buic	宀矢
𣨉	dwkl	歹亠口了
𤮏	cayw	廿一由八瓦
𥞧	hrad	禾彳一丁
𦨾	vwkl	舟亠口了
𦪗	vcab	舟廿一由八
𦶙	cmad	艹木{一}旦
𧝒	pcab	衤廿一由八
𪏓	bwcb	白王廿一由八
㖓	kwfg	口夂丰
㢬	gusi	弓𠂇厶
㬴	ogso	月共
㶹	hguv	火工水
䀧	ogsu	目共
䂫	uwfg	石夂㐄
䃔	ubkk	石宀口口
䆖	bbus	宀八𠂇厶
䉺	mgsi	米工
䍔	susi	罒𠂇厶
䜫	ggsu	谷工
䞑	igsi	赤工
䡌	iusi	車𠂇厶
䡏	igsi	車弓厶
䧆	egsr	⻖共
䨎	ygsi	雨弓厶
䩑	ggse	革弓
䪦	logs	立日工
䫹	fgsg	風工
䫺	usfg	𠂇厶風
䲨	gnns	工鳥
仜	rgsf	亻工
叿	kgsz	口工
吰	kusi	口𠂇厶
吽	knqz	口牛
呍	kyyz	口云
哄	kgsz	口共
嚝	kgcb	口广廿一由八
垬	tgsu	土共
妅	ngsv	女工
娂	ngsv	女共
宏	busi	宀𠂇厶
宖	bgsi	宀弓厶
屸	ugsj	山工
巆	uhhk	山火火冖口口
弘	gsis	弓厶
彋	gsay	弓⺫一口𧘇
揈	fbwk	扌勹亠二口
撔	fowx	扌日亠口小
晎	ogso	日共
汯	dusi	氵𠂇厶
沗	tuvm	天氺
泓	dgsi	氵弓厶
洪	dgsd	氵共
浤	dbus	氵宀𠂇厶
渱	digs	氵虫工
渹	dbwk	氵勹亠二口
潂	duby	氵山丷一业
灴	hgso	火工
烘	hgso	火共
焢	hbbg	火宀八工
玒	wgsf	𤣩工
玜	wgsf	𤣩公
瓨	gwas	工瓦
硔	ugsi	石共
硡	ubus	石宀𠂇厶
竑	lusi	立𠂇厶
竤	lbus	立宀𠂇厶
篊	vdgs	竹氵共
粠	mgsi	米共
紘	susi	糹𠂇厶
紭	sgsi	糹弓厶
綋	sbus	糹宀𠂇厶
纮	susi	纟𠂇厶
翃	usxx	𠂇厶习习
翝	busx	宀𠂇厶习习
耾	eusi	耳𠂇厶
苰	cgsi	艹弓厶
荭	csgs	艹纟工
葒	csgs	艹糹工
葓	cdgs	艹氵共
蕻	cegg	艹E𠫔共
薨	csbb	艹罒冖歹匕
虹	igss	虫工
訇	bwek	勹亠二口
訌	ygsj	訁工
讧	ygsj	讠工
谹	gusi	谷𠂇厶
谼	ggsu	谷共
谾	gbbg	谷宀八工
軣	idpd	車冫丿丶
輷	ibwk	車勹亠二口
轟	iiie	車車車
轰	iyyz	车又又
鈜	jusi	金𠂇厶
鉷	jgsn	金共
鋐	jbus	金宀𠂇厶
鍧	jbwk	金勹亠二口
閎	musi	門𠂇厶
閧	mgsf	門共
闀	mgsi	門共巳
闂	mjvv	門龹㔾
闳	musi	门𠂇厶
霐	ydgs	雨氵弓厶
霟	ydgs	雨氵共
鞃	ggsi	革弓厶
鬨	mgsf	鬥共
魟	ygsu	魚工
鴻	dgnn	氵工鳥
鸿	dgnn	氵工鸟
黉	xcab	𰃮卄一由八
黌	jxxb	𦥑乂乂冖廿一由八
𠐿	rcsb	亻艹⺫冖歹匕
𠪷	iobi	厂日冖車
𠲓	kwfg	口夂㐄
𠳃	kguv	口工水
𠹅	kgxn	口共⺗
𡇳	krae	囗𠆢一口卩
𡵓	uusi	山𠂇厶
𡺭	ugbw	山工貝
𢂔	jgsb	巾共
𢗵	xzvv	忄子乚
𢘌	xgsi	忄弓厶
𢝻	xwou	忄勿目
𢦅	xlob	忄立日十夂工貝
𢬀	ffgs	扌扌工
𢼦	gbyz	共⺊又
𣽝	dgfg	氵工風
𤂲	dqcb	氵犭卄一由八
𤃫	dcsb	氵艹罒冖歹匕
𤄏	dypx	氵魚丿糸
𤟼	qbwk	犭勹亠二口
𥈿	ogbw	目工貝
𥏕	ubus	矢宀𠂇厶
𥓰	ubbg	石宀八弓
𥔀	ubwk	石勹亠二口
𥕗	csbu	艹罒冖石
𥥈	bbgs	宀八弓厶
𥥡	bbgs	宀八共
𥰲	vhgs	竹火共
𦁷	sfus	糹方𠂇厶
𦐳	bbbx	匕匕冖习习
𦑟	xxbk	习习勹亠二口
𦑠	xxbw	习习白王
𦒃	csbx	艹罒冖习习
𦕠	egsr	耳共
𦕷	eguv	耳工水
𦶓	cmgs	艹木共
𧈽	iusi	虫𠂇厶
𧊯	yiss	永虫
𧋔	guis	工水虫
𧐬	ixky	虫小冂𠆢云
𧮴	gguu	谷古
𧾧	tzhx	土龰虍田心
𨌆	ibus	車宀𠂇厶
𨎗	iowp	車日勿彡
𨢣	ybye	酉匕頁
𨥺	jgsi	金弓厶
𨹁	eisr	⻖虫
𨾊	grvu	工亻{隹右}
𩐠	logs	立日共
𩒓	gyes	共頁
𩒴	guye	工水頁
𩒼	syye	龴用頁
𩓅	dyye	⺈用頁
𩕆	louy	立日十頁
𩕉	llye	立里頁
𩖉	csby	艹罒冖歹㔾頁
𩗄	fgsg	風共
𩗢	fguv	風工水
𩘇	fbwk	風勹亠二口
𩘎	fbkk	風宀口丿口
𩙛	fcsb	風艹罒冖歹匕
𩰓	mgsi	鬥共巳
𩶥	yisu	魚虫
𪈘	csbn	艹罒冖歹匕鳥
𫟹	jgsn	钅共
㕈	iyih	厂衣
㖃	kiak	口𠂆一口
㗋	kdiu	口⺈厂矢
㤧	xiak	忄𠂆一口
㫗	ozio	曰子
㬋	orvu	日亻ユ矢
㮢	mrvu	木亻ユ矢
㰯	dqmz	豆欠
㸸	niak	牜𠂆一口
㺅	qdiu	犭⺈厂矢
䂉	mrvu	矛亻ユ矢
䗔	irvu	虫亻ユ矢
䙈	prvu	衤亻ユ矢
䞧	tzik	土龰𠂆一口
䪷	jyeu	句頁
䫛	rvuy	亻ユ矢頁
